"rep","true_y_delta_0","true_y_delta_1","b_y_pred_delta_0","b_y_pred_delta_1","sb_y_pred_delta_0","sb_y_pred_delta_1","b_delta_pred_acc","sb_delta_pred_acc","b_Y_pred_mse","sb_Y_pred_mse"
1,-0.479487402217798,0.494044841988633,-0.473724307416587,0.523686683055547,-0.390354522548609,0.332135818515105,0.722,0.746,0.246025390120257,0.0637877003503373
2,-0.42311286435654,0.408201635997671,-0.369026605058436,0.538327744831876,-0.343597464695637,0.294531746139442,0.708,0.726,0.228663934271234,0.0711746667671606
3,-0.228034590392585,0.612968611628193,-0.284799812237158,0.809842822381773,-0.208063498349131,0.499847569376934,0.724,0.748,0.228405066545418,0.0658498592873053
4,-0.437501465025078,0.374762235711615,-0.461910394981918,0.487362729859142,-0.388966321483647,0.255070104211538,0.722,0.732,0.22337034450941,0.0557051759588936
5,-0.213591316691867,0.636681494822053,-0.270762357621716,0.56934260584633,-0.187190974131,0.51006507563177,0.698,0.7,0.233061723665952,0.0534126989696245
6,-0.210570411727812,0.382320392025231,-0.20207697018714,0.903710680463697,-0.212756928837615,0.473707121074151,0.686,0.698,0.198588938789525,0.0637842574255246
7,-0.408485001856738,0.447793418396857,-0.347000957665803,0.463076646243816,-0.277218462786957,0.275063006958829,0.66,0.718,0.192324491957693,0.052282124590656
8,-0.279659450849156,0.563987900391037,-0.372450330701903,0.647563395116625,-0.240610667404778,0.496079111483955,0.684,0.69,0.21263298380018,0.0671376459029717
9,-0.430687157311523,0.333802195782017,-0.403894593031206,0.395333156353477,-0.424528808764579,0.2974337931532,0.73,0.756,0.20996460051621,0.0606473839389226
10,-0.324300499326641,0.574412857996618,-0.386514787072192,0.669608334050527,-0.269800818806779,0.481068853370268,0.712,0.732,0.219929736065445,0.0730174718103158
11,-0.381937978607092,0.518724957991635,-0.368230923840741,0.794303073126199,-0.323871539788536,0.416194977288548,0.72,0.75,0.230088519414072,0.0758878411754811
12,-0.285108708527038,0.512777253484775,-0.345647732178945,0.727642722491162,-0.244676777805086,0.557327973655127,0.696,0.702,0.229888703978142,0.0634692319973063
13,-0.321108451878016,0.438263586143689,-0.241801938770088,0.57286412860641,-0.263159621372619,0.38086815286874,0.678,0.738,0.16615063912883,0.0569333292864603
14,-0.2183428732326,0.67220212707588,-0.246055151277828,0.648550007306922,-0.214930352644441,0.526645237003877,0.712,0.732,0.200063731744261,0.0548758105157114
15,-0.178153536327628,0.524281874122023,-0.185094256352659,0.557885694031843,-0.141074255352701,0.469341986757078,0.692,0.7,0.222557570345317,0.0606437396169957
16,-0.361818169490535,0.514315377208126,-0.366118786215336,0.718271186079584,-0.316316990159588,0.457349106398134,0.71,0.724,0.218681876801522,0.057699053259353
17,-0.270263255548073,0.59169481798002,-0.33862635839691,0.674976396745683,-0.244495768949725,0.472771515874789,0.708,0.736,0.214615235867094,0.0654693681627665
18,-0.422709629553029,0.668348572825231,-0.448945073030707,0.790067373378036,-0.325712772717466,0.459269464153137,0.716,0.756,0.255571929968315,0.0623575589649196
19,-0.303619525162629,0.587319798737681,-0.278859041199373,0.796480065606647,-0.211931247002048,0.599727443604621,0.732,0.744,0.147611972268369,0.0550028916098694
20,-0.347823943806516,0.452611294417186,-0.333956724605381,0.627239599252495,-0.305995044925136,0.404536917095581,0.668,0.71,0.28972571265756,0.0683243643271478
21,-0.294888653123424,0.453828287750804,-0.286429589591621,0.670347897568512,-0.300892305807862,0.462715633786477,0.72,0.716,0.219037906000272,0.0610734987879645
22,-0.344718858228394,0.278382201257736,-0.416226808606095,0.653188975630422,-0.342420624214705,0.324337505210011,0.678,0.704,0.155310027655901,0.0584193960230642
23,-0.443825748053027,0.375544573416175,-0.42315723169915,0.487943408833776,-0.412653761931656,0.312915451515524,0.676,0.718,0.224017885802821,0.0618453830114255
24,-0.304551028057603,0.428291316958058,-0.391876467202611,0.609930246267099,-0.385486986953059,0.430174721460131,0.69,0.702,0.235806087767431,0.055842802526108
25,-0.424703803992956,0.403828696208196,-0.450420932169985,0.581464536807095,-0.391647070066473,0.333909987159807,0.716,0.734,0.224294938585385,0.0610353799885919
1,-0.357799388961139,0.545928224929302,-0.370529978050869,0.791262686895853,-0.31292537384459,0.493860717004112,0.73,0.732,0.206033308708002,0.0565460534936908
2,-0.356004671990621,0.578554694231885,-0.370899868192031,0.920525588150553,-0.35347771951719,0.572775186986062,0.714,0.732,0.184370252947899,0.0686894182728944
3,-0.29282314377539,0.621399051458364,-0.213164872634,0.785202805051462,-0.23028504942277,0.57804121308879,0.696,0.718,0.232980843613407,0.0682721937993551
4,-0.423994635395528,0.552303103289543,-0.421970898568531,0.70406771591048,-0.384576829519186,0.466320270407774,0.69,0.718,0.199947488359074,0.0625806667537997
5,-0.209504568804258,0.567651378974823,-0.343377470041937,0.696092776127762,-0.233784107320384,0.475614551343085,0.712,0.72,0.233795923356483,0.0711715874190923
6,-0.366693129886263,0.331447594031813,-0.347815896152016,0.411411717236567,-0.327594238996162,0.323567638462579,0.666,0.67,0.289548571176361,0.0552167853467841
7,-0.265022749040117,0.55117704820687,-0.304695463381756,0.656194887370564,-0.24662063849732,0.416379219554866,0.708,0.722,0.236643460844066,0.0605510295317711
8,-0.259141981786241,0.609282000481788,-0.288279727954854,0.7201930312268,-0.209376007474144,0.570090253888042,0.688,0.708,0.246949726566229,0.0666963067196093
9,-0.413563295659004,0.36667386057963,-0.322423551505448,0.514609357469503,-0.348141639408168,0.197303727521832,0.68,0.736,0.206492156386694,0.0679592241921044
10,-0.371057644628516,0.519019799429125,-0.384082296130169,0.62832631367319,-0.385023473518856,0.50186896520652,0.7,0.72,0.18739060304702,0.05618908220739
11,-0.257311582670134,0.456320739711067,-0.263033079850352,0.794195801730729,-0.236129492163724,0.519472452470232,0.682,0.706,0.192408571439081,0.0555920862334226
12,-0.315189110388235,0.439711050098315,-0.394447956186516,0.59172810582251,-0.306591619961387,0.402102506954132,0.668,0.71,0.22454387056791,0.0571654989927328
13,-0.288029538210614,0.609169673038356,-0.301282181298531,0.806454195123077,-0.295660216682629,0.54945610125326,0.688,0.73,0.193053351785781,0.0552986360225816
14,-0.36549145904373,0.509806056046817,-0.364050977943547,0.677389506484907,-0.332168439950304,0.326555810010158,0.744,0.748,0.195969850368537,0.0813388145633159
15,-0.271961800547451,0.471634223873038,-0.180138423476732,0.594567388625483,-0.173183832700173,0.453044682247203,0.696,0.718,0.216106972038059,0.0621929284161612
16,-0.184774567980019,0.544794195960916,-0.3353749948382,0.675361789055618,-0.204502917516075,0.478729119156945,0.698,0.72,0.229949865484062,0.0613817585782711
17,-0.392001155717916,0.515155734108651,-0.386510603788761,0.577645936153891,-0.340366845575357,0.382678330601353,0.696,0.75,0.227381975132538,0.0647931699053046
18,-0.202105307466002,0.526943361591433,-0.266343062199295,0.76200901065524,-0.162191178283615,0.411401420101287,0.702,0.718,0.193034580110012,0.0549209619879939
19,-0.392890328653057,0.530711082879537,-0.430543705791026,0.654094536164729,-0.37342769816048,0.476554416105558,0.704,0.712,0.218118117665235,0.0646522313662368
20,-0.267319762953415,0.551006525680635,-0.350689338044536,0.663027968199778,-0.264535015218861,0.502356834377698,0.69,0.696,0.225311262441595,0.04737087900806
21,-0.321123228376087,0.581271700384914,-0.341767344484099,0.644720224848916,-0.285268348304334,0.503884349160284,0.69,0.7,0.244699850762926,0.0683035160414775
22,-0.283938889693709,0.638383427479386,-0.20178578065793,0.631295644258909,-0.146599261253257,0.460252241968214,0.688,0.704,0.201965843208003,0.0542973119609742
23,-0.364919372750903,0.494034394907334,-0.276722648828583,0.567810569282365,-0.310961667523458,0.355292135586643,0.71,0.718,0.190083860096895,0.0604383837518807
24,-0.432438458972555,0.495479883075653,-0.4324917534318,0.693242329858847,-0.397599601781828,0.462725902220522,0.73,0.744,0.238733088134665,0.0634937139941989
25,-0.303325236817708,0.357697446433859,-0.28359508958679,0.550597388464847,-0.26548716267298,0.401617725857658,0.664,0.69,0.24942482628035,0.0569705103599962
1,-0.269745250584095,0.544096473452621,-0.255044099506745,0.652940978900771,-0.261714449895164,0.435780836093579,0.7,0.716,0.228863612573519,0.0655819928103192
2,-0.439056528984384,0.506014416846414,-0.331708440008749,0.429268641423849,-0.340917224128624,0.313561436534835,0.68,0.72,0.244242550941504,0.0636917026810309
3,-0.376442622715805,0.661152756496669,-0.317274511435513,0.711475687699062,-0.311754424563578,0.557783926113732,0.744,0.742,0.26640562612159,0.0637876044006578
4,-0.286361496847426,0.675024710721262,-0.14392548421564,0.623437206397545,-0.154358489369673,0.478577288716201,0.714,0.71,0.238791063070235,0.0665610950404797
5,-0.350876514618362,0.652076012374119,-0.288130469347258,0.81206429274796,-0.268754593949756,0.604849839082262,0.726,0.746,0.244913971720295,0.0617864461516675
6,-0.282278366620086,0.568619950822473,-0.302955877151196,0.714829106865791,-0.223798325907144,0.570084625109001,0.688,0.694,0.215575631326887,0.069526446582247
7,-0.388212151230393,0.501291189133936,-0.370831694622477,0.586058763117073,-0.342175635566763,0.41750158665518,0.7,0.704,0.239476722336571,0.0517988222229484
8,-0.298794505721573,0.552610423141945,-0.436724907946113,0.562744151790283,-0.272626421973374,0.511143151941133,0.692,0.722,0.216426932513199,0.051000894343966
9,-0.357787661921615,0.672675578702319,-0.310024371408257,0.882931066525919,-0.276897844984498,0.596010403423627,0.698,0.724,0.27145740902287,0.0601878016222905
10,-0.166700997099492,0.606523212713651,-0.273785460329825,0.740309034817867,-0.215247614060119,0.570049707991157,0.672,0.688,0.228889234626442,0.0652829333502543
11,-0.277294160128019,0.579888277866012,-0.250137184295334,0.585730427745598,-0.226539124620565,0.492268619235215,0.692,0.714,0.261812015008829,0.0656524710926296
12,-0.310511257386611,0.481071371832652,-0.343743173219354,0.829442114095965,-0.275308044105866,0.474148533663282,0.696,0.72,0.229114838360448,0.0599894827121532
13,-0.276462184622496,0.530042179961691,-0.401893441480198,0.64626755032545,-0.348905281252969,0.458989629170832,0.702,0.724,0.219805811728441,0.0600615685250606
14,-0.310979841008008,0.485138187549854,-0.327121888182629,0.639575216168508,-0.271791303283894,0.406330911420484,0.668,0.702,0.208392843046897,0.0661353629013785
15,-0.396833532654576,0.489868769399141,-0.376248258844069,0.490419767418666,-0.294441848510395,0.373285438880679,0.71,0.718,0.239908691815124,0.0597242229923212
16,-0.291596355851442,0.600418692649427,-0.315799869302275,0.82038222045943,-0.240591014875679,0.54307581309277,0.676,0.706,0.253003367843454,0.0631265649277697
17,-0.36187376682559,0.512514548285407,-0.385387357017248,0.736756734058862,-0.351486783101853,0.433788320221651,0.698,0.722,0.23919576643997,0.0593119368682484
18,-0.437596449983512,0.509214074288075,-0.423255828210952,0.59230852978184,-0.343034789417049,0.38045816787509,0.732,0.732,0.203207323231998,0.0568332574581506
19,-0.319851182279039,0.580118191074413,-0.298082965438426,0.839898008593423,-0.236382720315099,0.636922295378036,0.692,0.702,0.22749182610934,0.0592440425270021
20,-0.35319386022455,0.420071109501873,-0.41433035646321,0.606304620356828,-0.368795446909153,0.409788307032648,0.736,0.734,0.220495220257822,0.0565587863956249
21,-0.43038883149781,0.466360700315256,-0.367696748326045,0.668269648522167,-0.371413273205343,0.285024670825102,0.69,0.706,0.224660759025454,0.0625222618024938
22,-0.274526843155054,0.634576209023965,-0.228973577502554,0.876060087321229,-0.22859522680051,0.527121959170684,0.706,0.73,0.210147594353465,0.0693128235334598
23,-0.228038971445679,0.535396483293135,-0.356570162720392,0.704684934023068,-0.269928403860817,0.49527997596717,0.698,0.712,0.230257164278949,0.056518243731856
24,-0.35619508444319,0.505525768687645,-0.260879256575011,0.676810626168468,-0.2482027521483,0.395111932006741,0.65,0.69,0.25226955248811,0.0604383673752086
25,-0.222405525743325,0.62178103479272,-0.262544409239508,0.627329267018718,-0.196990609656057,0.564618819586666,0.67,0.724,0.213692204931013,0.0631213406442485
1,-0.294614718588291,0.612938364317992,-0.355102342777459,0.757671275382621,-0.327759826964582,0.560294572740936,0.702,0.718,0.198901689066095,0.0718486985186357
2,-0.379134891512816,0.520175949661904,-0.384529063076411,0.623800194523877,-0.329861808580878,0.407402140441557,0.706,0.726,0.180155556773549,0.0586352105743708
3,-0.308455882002582,0.5474153918502,-0.219668075913006,0.744326898972414,-0.251287367008627,0.505755200356484,0.7,0.738,0.184104632248635,0.053195412750443
4,-0.284931293447242,0.516222807925552,-0.273094163584253,0.678782476865991,-0.291312438157753,0.480218369383233,0.722,0.752,0.190546442586228,0.0625161876686715
5,-0.379638156512551,0.550393842836024,-0.236665529711704,0.775926521511668,-0.280585039358521,0.467850983270736,0.714,0.744,0.204429848746041,0.0683421528463072
6,-0.445008395016168,0.502026137201674,-0.427325764695789,0.646808549567485,-0.365892051564705,0.408963400865174,0.702,0.73,0.22967644876219,0.0584860719958538
7,-0.322012551358118,0.515893848198542,-0.330164951888881,0.696330458800474,-0.237944218109781,0.471685531359144,0.708,0.724,0.159669007172588,0.0644345786430767
8,-0.29833437486413,0.550277732795162,-0.315044259137588,0.568590968990485,-0.253004306349921,0.401731206706677,0.72,0.722,0.197944913693852,0.0565552096059723
9,-0.414552698396376,0.410297145499088,-0.260659116514856,0.731820216162757,-0.281970252141673,0.394244149056493,0.644,0.686,0.179857976225941,0.0600944310214264
10,-0.26594624310818,0.623886334104766,-0.241080118167112,0.591485517443476,-0.169651693065131,0.423828401570838,0.664,0.706,0.224346338289711,0.0656703849797056
11,-0.209512900475118,0.451907738392572,-0.27187113832997,0.65074739729759,-0.249207815606411,0.447418073530533,0.656,0.688,0.22974155528295,0.0626984761501409
12,-0.221147251075755,0.612914565227784,-0.181013677575852,0.724493028121267,-0.171553845985012,0.56537160329213,0.714,0.746,0.174987227521195,0.0581346462583754
13,-0.358000192724979,0.597944167416546,-0.215601658301564,0.648398436087842,-0.224564983273918,0.408479843757359,0.704,0.73,0.254156832661141,0.060369691597998
14,-0.369096740860237,0.427038959551621,-0.28705671220373,0.652998246871796,-0.25703195063679,0.427085194829913,0.71,0.728,0.189193610491683,0.0600913293520482
15,-0.43022932602496,0.401662016590588,-0.35702625057535,0.42659949016905,-0.371082576214863,0.342473307852276,0.714,0.72,0.212145006752707,0.0754227509023547
16,-0.339458630228459,0.576981014491069,-0.252588654144935,0.739581339540539,-0.234864031665248,0.528215522014843,0.716,0.696,0.249355203218672,0.0722078630061491
17,-0.309595056454462,0.490733994665809,-0.138852501032274,0.544175765239567,-0.211567783575886,0.422691461861589,0.676,0.698,0.201624095091374,0.0556608521277169
18,-0.406273635800221,0.687611743428939,-0.273279685532817,0.515848114834255,-0.261380785224337,0.411357072860343,0.662,0.772,0.203888711521794,0.0622246370507147
19,-0.457784307859529,0.526137357133454,-0.299387266473571,0.620151006698974,-0.359047453599816,0.318750046956119,0.69,0.724,0.239689382496755,0.0593166948227067
20,-0.472889829914436,0.496626910793617,-0.394308519294458,0.51763309102226,-0.401259822156384,0.411519284509994,0.708,0.724,0.172124902053376,0.0669377851980455
21,-0.35106988264477,0.500320245194349,-0.362089181246867,0.539749664620762,-0.238057316133727,0.372400792187659,0.7,0.698,0.200878982554056,0.0672501805473489
22,-0.212291423399992,0.464997076919689,-0.285219966032224,0.643244994459453,-0.222335490236121,0.445180558179324,0.702,0.718,0.201142973723201,0.0599543565509299
23,-0.285799839062956,0.484387150365839,-0.283742835654085,0.521021820222216,-0.2181223133177,0.330232502745147,0.67,0.694,0.212083731785882,0.0555988864872891
24,-0.450995500412807,0.435289284053719,-0.435368152708698,0.640600588946876,-0.367921982607822,0.393615241306012,0.704,0.718,0.214491337392092,0.0566984041340955
25,-0.33647949343494,0.49598034703858,-0.228310040483793,0.477763856046665,-0.277989100171802,0.347641117223035,0.688,0.712,0.226707605949718,0.0771101065486833
